longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0.2111553784860547,0.5674814027630184,0.7843137254901961,0.022330739101683705,0.019863438857852266,0.008940833543541018,0.020555829633284,0.5396684183666434,0.9022663824066706
0.21215139442231035,0.5653560042507966,0.39215686274509803,0.180502568798006,0.17147734326505273,0.06721040387903249,0.18697582634435125,0.5380270616957008,0.7082465639316952
0.21015936254980083,0.5642933049946866,0.9999999999999999,0.03726028790884582,0.029329608938547486,0.013817651840017937,0.02894260812366387,0.4660280547854513,0.6950507420587957
0.2091633466135452,0.5642933049946866,0.9999999999999999,0.03235159468945521,0.036312849162011177,0.015555368704279829,0.03584936688044729,0.35469855588198784,0.6727827926482778
0.2091633466135452,0.5642933049946866,0.9999999999999999,0.04132967088865151,0.04329608938547486,0.015751562543793268,0.04242723236309817,0.2307761272258314,0.6746384550991543
0.2091633466135452,0.5642933049946866,0.9999999999999999,0.02332265120301134,0.032898820608317815,0.01149135345721573,0.031573754316724226,0.24392077350657237,0.5251545354452147
0.2091633466135452,0.5632306057385765,0.9999999999999999,0.06442341929904878,0.07572936064556177,0.030578211272737466,0.08436112481499754,0.21787285692611136,0.5859790268906108
0.2091633466135452,0.5632306057385765,0.9999999999999999,0.07889516252098276,0.10645561762880199,0.03234395582835842,0.10623252754481172,0.18069405939228428,0.46680426060098723
0.20816733067728954,0.5632306057385765,0.8039215686274509,0.0649320921715245,0.10304158907510863,0.03371731270495249,0.09768130241736557,0.10899849657246109,0.4364951072366712
0.2091633466135452,0.5632306057385765,0.9999999999999999,0.09021313393356732,0.1095592799503414,0.043386866223829146,0.11725045222825194,0.22008661949490355,0.507422649803506
0.20816733067728954,0.5642933049946866,0.9999999999999999,0.05595401597232819,0.06719428926132837,0.02542111606266992,0.06594310146357507,0.18642501482738172,0.5494843320233731
0.20816733067728954,0.5642933049946866,0.9999999999999999,0.08904318632687319,0.11654252017380509,0.04206956472995319,0.12053938496957738,0.1910732265761852,0.4676289994680434
0.20816733067728954,0.5642933049946866,0.9999999999999999,0.06330433897960222,0.0734016139044072,0.030690322038173717,0.07679657950994902,0.1775906539220149,0.409278724623816
0.20816733067728954,0.5632306057385765,0.9999999999999999,0.017650948674907165,0.029484792054624457,0.009585470444799462,0.028449268212465056,0.14990827712721205,0.36350571750219585
0.20816733067728954,0.5642933049946866,0.9999999999999999,0.06717025281041762,0.09698944754810676,0.033885478853106867,0.10179246834402236,0.09770899711728116,0.29732042342093434
0.20816733067728954,0.5642933049946866,0.9607843137254901,0.028434813571392235,0.043761638733705775,0.019451217803189553,0.04324946554842953,0.11207431621632806,0.2577329578022359
0.20717131474103567,0.5642933049946866,0.9999999999999999,0.04995167607711481,0.053693358162631905,0.022141876173659574,0.05426739023186976,0.15690128412021903,0.2835060473977427
0.20717131474103567,0.5642933049946866,0.9999999999999999,0.031181647082761076,0.04531346989447548,0.018077860926595475,0.049662884394014145,0.11174328629949933,0.2896915889006643
0.20816733067728954,0.5632306057385765,0.9607843137254901,0.05689506078640826,0.07045313469894475,0.02766333137139494,0.06873869429370169,0.10283996082812653,0.29628949983711406
0.20717131474103567,0.5632306057385765,0.9999999999999999,0.0381758990793021,0.046089385474860335,0.01925502396367611,0.045058378556158525,0.14506006813699124,0.30494925794120437
0.20717131474103567,0.5642933049946866,0.7647058823529411,0.01904979907421537,0.028398510242085662,0.011379242691779479,0.02713369511593488,0.059164701176535495,0.27319681155953995
0.20717131474103567,0.5642933049946866,0.8039215686274509,0.041634874612136934,0.056797020484171325,0.02595364219849211,0.06002302252918928,0.08369539730486478,0.29855753172151867
0.20717131474103567,0.5632306057385765,0.9999999999999999,0.061905488580294016,0.08379888268156424,0.028364023655371506,0.07844104588061174,0.08448848981393361,0.20391874672681762
0.20717131474103567,0.5632306057385765,0.9999999999999999,0.042881123149702424,0.0521415270018622,0.023823537655203342,0.053280710409472125,0.11590874608626091,0.17464051694632188
